Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,7.0,483,0.014493,1.887,256,7.0,3.226,,1.887,1.887
2,10.0,849,0.015312,12.448,68,13.0,2.959,0.008996,12.448,14.335
3,12.33,731,0.023256,22.679,32,17.0,2.83,0.006989,22.679,37.013999999999996
4,10.75,337,0.017804,10.466,32,6.0,2.819,0.009201,10.466,47.48
5,9.4,384,0.010417,12.167,32,4.0,2.521,0.007238,12.167,59.647
6,9.33,576,0.015625,17.849,32,9.0,2.587,0.008156,17.849,77.496
7,9.0,525,0.013333,16.652,32,7.0,2.691,0.006526,16.652,94.148
8,10.38,623,0.032103,19.18,32,20.0,2.457,0.007201,19.18,113.328
9,10.11,488,0.016393,14.989,33,8.0,2.795,0.006777,14.989,128.317
10,10.6,791,0.018963,24.572,32,15.0,2.531,0.008384,24.572,152.889
11,10.27,466,0.015021,14.066,33,7.0,2.47,0.005223,14.066,166.955
12,10.5,659,0.019727,20.246,33,13.0,2.311,0.007073,20.246,187.20100000000002
13,10.08,402,0.012438,12.312,33,5.0,2.485,0.006407,12.312,199.51300000000003
14,10.71,675,0.028148,20.844,32,19.0,2.591,0.00667,20.844,220.35700000000003
15,10.53,372,0.021505,11.562,32,8.0,2.317,0.007751,11.562,231.91900000000004
16,10.44,585,0.015385,17.998,33,9.0,2.318,0.00654,17.998,249.91700000000003
17,10.41,487,0.020534,15.135,32,10.0,2.801,0.007006,15.135,265.052
18,10.28,562,0.014235,17.416,32,8.0,2.552,0.006214,17.416,282.468
19,10.21,536,0.016791,16.725,32,9.0,2.729,0.009575,16.725,299.19300000000004
20,11.0,762,0.034121,24.252,31,26.0,2.894,0.008166,24.252,323.44500000000005
21,11.05,716,0.01676,21.524,33,12.0,2.437,0.007754,21.524,344.96900000000005
22,10.73,283,0.014134,9.586,30,4.0,2.353,0.007061,9.586,354.55500000000006
23,11.0,801,0.021223,24.699,32,17.0,2.448,0.009101,24.699,379.2540000000001
24,11.04,481,0.024948,15.085,32,12.0,2.96,0.007004,15.085,394.33900000000006
25,11.24,660,0.024242,20.526,32,16.0,2.556,0.00866,20.526,414.86500000000007
26,11.15,504,0.017857,15.728,32,9.0,2.512,0.009008,15.728,430.5930000000001
27,11.3,874,0.017162,27.236,32,15.0,2.535,0.007908,27.236,457.82900000000006
28,11.0,392,0.007653,12.416,32,3.0,2.492,0.006621,12.416,470.24500000000006
29,10.83,360,0.016667,11.458,31,6.0,2.933,0.00798,11.458,481.7030000000001
30,10.83,538,0.020446,16.937,32,11.0,2.753,0.007933,16.937,498.6400000000001
31,10.74,484,0.016529,15.3,32,8.0,2.533,0.006906,15.3,513.94
32,10.47,371,0.005391,11.74,32,2.0,2.299,0.00863,11.74,525.6800000000001
33,10.39,465,0.017204,14.446,32,8.0,2.942,0.006421,14.446,540.1260000000001
34,10.26,452,0.013274,14.178,32,6.0,2.768,0.00749,14.178,554.3040000000001
35,10.31,495,0.024242,15.633,32,12.0,2.43,0.006575,15.633,569.9370000000001
36,10.28,392,0.022959,12.123,32,9.0,2.365,0.00475,12.123,582.0600000000002
37,10.05,300,0.006667,9.395,32,2.0,2.467,0.00727,9.395,591.4550000000002
38,10.21,651,0.024578,20.069,32,16.0,2.441,0.008997,20.069,611.5240000000001
39,10.41,836,0.021531,25.855,32,18.0,2.531,0.007595,25.855,637.3790000000001
40,10.32,455,0.015385,14.193,32,7.0,2.873,0.00749,14.193,651.5720000000001
41,10.44,656,0.022866,20.245,32,15.0,2.567,0.006391,20.245,671.8170000000001
42,10.62,830,0.021687,25.586,32,18.0,2.682,0.00717,25.586,697.4030000000001
43,10.51,497,0.012072,15.44,32,6.0,2.495,0.006529,15.44,712.8430000000002
44,10.45,474,0.016878,14.866,32,8.0,2.342,0.006833,14.866,727.7090000000002
45,10.36,421,0.014252,13.317,32,6.0,2.321,0.007991,13.317,741.0260000000002
46,10.37,568,0.019366,17.613,32,11.0,2.269,0.00504,17.613,758.6390000000001
47,10.32,490,0.016327,15.316,32,8.0,2.208,0.00589,15.316,773.9550000000002
48,10.35,503,0.023857,15.565,32,12.0,2.65,0.006883,15.565,789.5200000000002
49,10.33,509,0.017682,15.94,32,9.0,2.12,0.007618,15.94,805.4600000000003
50,10.36,471,0.025478,14.93,32,12.0,2.287,0.006088,14.93,820.3900000000002
51,10.24,323,0.012384,10.211,32,4.0,2.443,0.006401,10.211,830.6010000000002
52,10.21,523,0.017208,16.272,32,9.0,2.046,0.006525,16.272,846.8730000000003
53,10.25,657,0.018265,20.356,32,12.0,2.542,0.007447,20.356,867.2290000000003
54,10.33,605,0.024793,18.718,32,15.0,2.755,0.0071,18.718,885.9470000000002
55,10.36,537,0.022346,16.535,32,12.0,2.365,0.007125,16.535,902.4820000000002
56,10.34,481,0.018711,14.98,32,9.0,2.505,0.008205,14.98,917.4620000000002
57,10.3,511,0.015656,15.996,32,8.0,2.162,0.00728,15.996,933.4580000000002
58,10.24,482,0.014523,15.081,32,7.0,2.595,0.00814,15.081,948.5390000000002
59,10.29,465,0.027957,14.37,32,13.0,2.484,0.006844,14.37,962.9090000000002
60,10.27,512,0.017578,15.977,32,9.0,2.219,0.00742,15.977,978.8860000000002
61,10.21,478,0.014644,15.121,32,7.0,2.406,0.007976,15.121,994.0070000000002
62,10.32,784,0.021684,24.664,32,17.0,2.513,0.006743,24.664,1018.6710000000002
63,10.21,261,0.011494,8.205,32,3.0,2.421,0.007831,8.205,1026.8760000000002
64,10.14,406,0.014778,12.694,32,6.0,2.212,0.006568,12.694,1039.5700000000002
65,10.17,541,0.022181,16.95,32,12.0,2.582,0.005644,16.95,1056.5200000000002
66,10.15,486,0.018519,15.254,32,9.0,2.43,0.007236,15.254,1071.7740000000001
67,10.09,307,0.019544,9.564,32,6.0,2.648,0.006125,9.564,1081.3380000000002
68,10.18,614,0.026059,18.827,33,16.0,2.292,0.006799,18.827,1100.1650000000002
69,10.14,515,0.015534,15.966,32,8.0,2.262,0.007151,15.966,1116.131
70,10.13,380,0.023684,11.947,32,9.0,2.455,0.00513,11.947,1128.078
71,10.04,301,0.013289,9.298,32,4.0,2.395,0.005037,9.298,1137.376
72,9.94,407,0.007371,12.705,32,3.0,2.329,0.005119,12.705,1150.081
73,9.96,476,0.023109,14.857,32,11.0,2.284,0.005758,14.857,1164.9379999999999
74,9.92,479,0.014614,14.859,32,7.0,2.459,0.005906,14.859,1179.7969999999998
75,9.95,466,0.025751,14.425,32,12.0,2.157,0.004931,14.425,1194.2219999999998
76,10.14,909,0.027503,28.314,32,25.0,2.314,0.006479,28.314,1222.5359999999998
77,10.22,830,0.019277,25.814,32,16.0,2.657,0.008134,25.814,1248.35
78,10.29,766,0.020888,23.914,32,16.0,2.449,0.006855,23.914,1272.264
79,10.19,271,0.00738,8.673,31,2.0,2.443,0.00468,8.673,1280.937
80,10.18,596,0.015101,18.514,32,9.0,2.361,0.006728,18.514,1299.4509999999998
81,10.15,371,0.021563,11.576,32,8.0,2.811,0.006469,11.576,1311.0269999999998
