Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
537,16.14,636,0.031447,16.041,40,20.0,2.703,0.015769,16.041,5778.560000000002
538,16.2,765,0.033987,19.307,40,26.0,2.822,0.015683,19.307,5797.867000000002
539,16.21,485,0.030928,12.279,39,15.0,2.792,0.015323,12.279,5810.1460000000025
540,16.19,640,0.032813,16.378,39,21.0,2.923,0.017413,16.378,5826.524000000002
541,16.31,681,0.032305,16.744,41,22.0,2.623,0.017689,16.744,5843.268000000002
542,16.36,828,0.030193,21.04,39,25.0,2.655,0.016742,21.04,5864.308000000002
543,16.41,606,0.023102,14.908,41,14.0,2.551,0.016758,14.908,5879.216000000002
544,16.5,858,0.040793,21.713,40,35.0,2.811,0.015543,21.713,5900.929000000002
545,16.51,558,0.02509,13.988,40,14.0,2.545,0.015688,13.988,5914.917000000002
546,16.44,591,0.032149,13.623,43,19.0,2.783,0.014959,13.623,5928.540000000002
547,16.61,875,0.029714,19.2,46,26.0,2.717,0.019159,19.2,5947.740000000002
548,16.59,513,0.025341,13.086,39,13.0,2.271,0.017353,13.086,5960.826000000002
549,16.62,546,0.027473,13.646,40,15.0,2.452,0.017961,13.646,5974.472000000002
550,16.62,540,0.022222,13.537,40,12.0,2.896,0.016631,13.537,5988.009000000002
551,16.74,721,0.034674,18.144,40,25.0,2.377,0.016381,18.144,6006.153000000002
552,16.68,261,0.019157,6.769,39,5.0,2.625,0.017107,6.769,6012.922000000002
553,16.68,506,0.023715,12.657,40,12.0,2.583,0.016903,12.657,6025.579000000002
554,16.66,368,0.024457,9.216,40,9.0,2.38,0.016852,9.216,6034.795000000003
555,16.64,685,0.033577,17.067,40,23.0,2.45,0.014819,17.067,6051.862000000003
556,16.62,458,0.019651,11.452,40,9.0,2.681,0.017354,11.452,6063.314000000003
557,16.79,882,0.031746,21.866,40,28.0,2.805,0.01768,21.866,6085.180000000003
558,16.82,516,0.02907,13.103,39,15.0,2.494,0.016958,13.103,6098.283000000003
559,16.89,694,0.030259,17.07,41,21.0,2.242,0.019168,17.07,6115.353000000003
560,16.93,802,0.027431,20.099,40,22.0,2.438,0.016807,20.099,6135.452000000003
561,16.88,592,0.027027,14.82,40,16.0,2.562,0.018271,14.82,6150.272000000003
562,17.04,667,0.034483,16.937,39,23.0,2.651,0.017147,16.937,6167.209000000003
563,16.9,523,0.032505,13.187,40,17.0,2.621,0.017589,13.187,6180.3960000000025
564,16.8,512,0.033203,12.99,39,17.0,2.426,0.018598,12.99,6193.386000000002
565,16.83,424,0.023585,10.706,40,10.0,2.566,0.01825,10.706,6204.092000000002
566,16.95,534,0.029963,13.243,40,16.0,2.468,0.018298,13.243,6217.335000000003
567,17.14,1059,0.030217,26.398,40,32.0,2.567,0.017191,26.398,6243.733000000003
568,17.17,601,0.039933,15.249,39,24.0,2.705,0.018272,15.249,6258.982000000003
569,17.14,546,0.034799,13.773,40,19.0,2.419,0.0185,13.773,6272.755000000003
570,16.98,389,0.025707,9.865,39,10.0,2.468,0.0181,9.865,6282.620000000003
571,16.93,356,0.030899,9.041,39,11.0,2.781,0.019148,9.041,6291.661000000003
572,17.03,847,0.031877,21.506,39,27.0,2.392,0.017539,21.506,6313.167000000003
573,17.11,540,0.035185,13.449,40,19.0,2.502,0.016883,13.449,6326.616000000003
574,17.02,638,0.025078,15.882,40,16.0,2.583,0.017647,15.882,6342.498000000002
575,17.12,768,0.028646,19.759,39,22.0,2.281,0.020254,19.759,6362.257000000002
576,17.21,854,0.032787,21.658,39,28.0,2.554,0.018696,21.658,6383.915000000003
577,17.26,486,0.037037,12.347,39,18.0,2.759,0.02125,12.347,6396.262000000002
578,17.21,575,0.027826,14.488,40,16.0,2.757,0.019895,14.488,6410.750000000003
579,17.28,569,0.033392,13.027,44,19.0,2.475,0.018848,13.027,6423.777000000003
580,17.35,655,0.038168,15.836,41,25.0,2.592,0.01637,15.836,6439.613000000003
581,17.46,603,0.033167,13.648,44,20.0,2.665,0.016496,13.648,6453.261000000003
582,17.43,395,0.025316,8.951,44,10.0,2.443,0.017945,8.951,6462.212000000003
583,17.41,580,0.024138,12.874,45,14.0,2.328,0.018733,12.874,6475.086000000003
584,17.34,366,0.021858,8.663,42,8.0,2.467,0.017432,8.663,6483.7490000000025
585,17.37,393,0.035623,8.833,44,14.0,2.511,0.01902,8.833,6492.582000000002
586,17.38,496,0.024194,11.922,42,12.0,2.329,0.017935,11.922,6504.504000000002
587,17.48,912,0.029605,20.824,44,27.0,2.696,0.018295,20.824,6525.328000000001
588,17.58,700,0.031429,15.435,45,22.0,2.65,0.016991,15.435,6540.763000000002
589,17.56,407,0.022113,9.126,45,9.0,2.541,0.017536,9.126,6549.889000000002
590,17.57,532,0.033835,11.61,46,18.0,2.346,0.016622,11.61,6561.499000000002
591,17.75,691,0.040521,14.782,47,28.0,2.664,0.018179,14.782,6576.281000000002
592,17.88,762,0.035433,17.706,43,27.0,2.546,0.019729,17.706,6593.987000000002
593,17.91,697,0.030129,15.888,44,21.0,2.218,0.018201,15.888,6609.875000000002
594,18.24,1372,0.029883,33.593,41,41.0,2.49,0.018716,33.593,6643.468000000002
595,18.18,428,0.030374,11.01,39,13.0,2.75,0.01651,11.01,6654.478000000002
596,18.17,519,0.034682,13.248,39,18.0,2.345,0.016444,13.248,6667.7260000000015
597,18.27,681,0.030837,17.218,40,21.0,2.758,0.017671,17.218,6684.944000000001
