Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
536,11.52,656,0.027439,20.271,32,18.0,2.514,0.006299,20.271,8476.224999999997
537,11.54,476,0.018908,14.838,32,9.0,2.626,0.00619,14.838,8491.062999999996
538,11.55,329,0.027356,10.173,32,9.0,2.468,0.005056,10.173,8501.235999999997
539,11.5,366,0.019126,11.435,32,7.0,2.719,0.005279,11.435,8512.670999999997
540,11.48,283,0.021201,8.706,33,6.0,2.929,0.005277,8.706,8521.376999999997
541,11.53,643,0.026439,19.802,32,17.0,2.292,0.005181,19.802,8541.178999999996
542,11.47,375,0.018667,11.744,32,7.0,2.757,0.006466,11.744,8552.922999999997
543,11.48,555,0.023423,17.119,32,13.0,2.488,0.005167,17.119,8570.041999999998
544,11.44,346,0.023121,10.621,33,8.0,2.185,0.005836,10.621,8580.662999999997
545,11.27,463,0.012959,14.392,32,6.0,2.391,0.005156,14.392,8595.054999999997
546,11.11,369,0.02168,11.427,32,8.0,2.65,0.005487,11.427,8606.481999999996
547,11.18,703,0.025605,21.832,32,18.0,2.395,0.00552,21.832,8628.313999999997
548,11.24,431,0.027842,13.491,32,12.0,2.592,0.00525,13.491,8641.804999999997
549,11.09,381,0.018373,11.897,32,7.0,2.659,0.005656,11.897,8653.701999999997
550,11.09,336,0.014881,10.451,32,5.0,2.896,0.006231,10.451,8664.152999999997
551,11.14,804,0.027363,24.978,32,22.0,2.648,0.008718,24.978,8689.130999999996
552,11.08,322,0.018634,10.131,32,6.0,2.357,0.009009,10.131,8699.261999999995
553,11.05,384,0.028646,11.968,32,11.0,2.56,0.005649,11.968,8711.229999999996
554,10.92,379,0.013193,11.792,32,5.0,2.565,0.006303,11.792,8723.021999999995
555,10.9,600,0.018333,18.763,32,11.0,2.457,0.006116,18.763,8741.784999999996
556,10.87,492,0.03252,15.361,32,16.0,2.364,0.006362,15.361,8757.145999999997
557,10.81,364,0.016484,11.245,32,6.0,2.728,0.006596,11.245,8768.390999999998
558,10.75,369,0.02168,11.495,32,8.0,2.691,0.006858,11.495,8779.885999999999
559,10.74,502,0.017928,15.74,32,9.0,2.217,0.00626,15.74,8795.625999999998
560,10.76,396,0.022727,12.201,32,9.0,2.755,0.005501,12.201,8807.826999999997
561,10.76,523,0.01912,16.03,33,10.0,2.841,0.00491,16.03,8823.856999999998
562,10.71,299,0.026756,9.579,31,8.0,2.458,0.005364,9.579,8833.435999999998
563,10.7,444,0.024775,13.817,32,11.0,2.43,0.006729,13.817,8847.252999999997
564,10.65,423,0.018913,13.338,32,8.0,2.589,0.005421,13.338,8860.590999999997
565,10.61,302,0.019868,9.428,32,6.0,2.626,0.006286,9.428,8870.018999999997
566,10.63,625,0.024,19.597,32,15.0,2.478,0.005707,19.597,8889.615999999996
567,10.6,775,0.021935,24.291,32,17.0,2.512,0.006564,24.291,8913.906999999996
568,10.57,291,0.020619,8.967,32,6.0,2.385,0.004942,8.967,8922.873999999996
569,10.52,341,0.026393,10.734,32,9.0,2.578,0.005481,10.734,8933.607999999997
570,10.48,470,0.017021,14.435,33,8.0,2.653,0.00656,14.435,8948.042999999996
571,10.48,477,0.020964,14.839,32,10.0,2.612,0.006561,14.839,8962.881999999996
572,10.51,544,0.018382,16.893,32,10.0,2.428,0.007019,16.893,8979.774999999996
573,10.58,874,0.017162,27.069,32,15.0,2.459,0.009465,27.069,9006.843999999996
574,10.49,290,0.027586,9.262,31,8.0,2.321,0.008053,9.262,9016.105999999996
575,10.34,347,0.020173,10.815,32,7.0,2.144,0.009053,10.815,9026.920999999997
576,10.3,538,0.022305,16.448,33,12.0,2.318,0.006964,16.448,9043.368999999997
577,10.31,587,0.020443,18.005,33,12.0,2.426,0.007058,18.005,9061.373999999996
578,10.28,426,0.028169,13.361,32,12.0,2.308,0.00944,13.361,9074.734999999997
