Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,8.0,524,0.015267,2.177,241,8.0,2.496,,2.177,2.177
2,13.0,801,0.022472,2.89,277,18.0,2.404,,2.89,5.067
3,10.0,290,0.013793,0.809,359,4.0,2.448,,0.809,5.876
4,9.5,602,0.013289,1.677,359,8.0,2.367,,1.677,7.553000000000001
5,12.0,845,0.026036,2.395,353,22.0,2.529,,2.395,9.948
6,11.5,468,0.019231,1.335,350,9.0,2.447,,1.335,11.283000000000001
7,12.14,867,0.018454,2.328,372,16.0,2.444,,2.328,13.611
8,11.62,421,0.019002,1.189,354,8.0,2.558,,1.189,14.8
9,11.56,530,0.020755,2.023,262,11.0,2.466,,2.023,16.823
10,11.4,513,0.019493,1.53,335,10.0,2.472,,1.53,18.353
11,11.45,578,0.020761,1.72,336,12.0,2.453,,1.72,20.073
12,11.08,861,0.00813,2.503,344,7.0,2.458,,2.503,22.576
13,10.92,299,0.0301,0.866,345,9.0,2.569,,0.866,23.442
14,10.71,480,0.016667,1.461,328,8.0,2.496,,1.461,24.903
15,10.73,718,0.01532,2.016,356,11.0,2.593,,2.016,26.918999999999997
16,11.0,714,0.021008,1.922,371,15.0,2.513,,1.922,28.840999999999998
17,10.76,300,0.023333,0.815,368,7.0,2.44,,0.815,29.656
18,10.83,601,0.019967,1.703,353,12.0,2.454,,1.703,31.358999999999998
19,11.11,647,0.02473,1.857,348,16.0,2.487,,1.857,33.216
20,11.45,1028,0.01751,3.293,312,18.0,2.49,,3.293,36.509
21,11.19,472,0.012712,1.439,328,6.0,2.625,,1.439,37.948
22,11.14,412,0.024272,1.133,364,10.0,2.527,,1.133,39.081
23,10.78,372,0.008065,1.122,332,3.0,2.484,,1.122,40.203
24,10.83,614,0.019544,1.743,352,12.0,2.705,,1.743,41.946000000000005
25,10.76,494,0.018219,1.475,335,9.0,2.53,,1.475,43.42100000000001
26,11.04,891,0.020202,2.586,345,18.0,2.539,,2.586,46.007000000000005
27,10.78,436,0.009174,1.16,376,4.0,2.564,,1.16,47.167
28,10.86,636,0.02044,1.707,373,13.0,2.475,,1.707,48.874
29,11.0,553,0.027125,1.602,345,15.0,2.611,,1.602,50.476
30,10.93,642,0.014019,1.846,348,9.0,2.6,,1.846,52.322
31,10.74,272,0.018382,0.785,347,5.0,2.596,,0.785,53.107
32,10.66,494,0.016194,1.331,371,8.0,2.557,,1.331,54.438
33,10.67,404,0.027228,1.114,363,11.0,2.475,,1.114,55.552
34,10.65,529,0.018904,1.435,369,10.0,2.541,,1.435,56.987
35,10.69,591,0.020305,1.603,369,12.0,2.438,,1.603,58.59
36,10.69,593,0.01855,1.587,374,11.0,2.617,,1.587,60.17700000000001
37,10.57,392,0.015306,1.042,376,6.0,2.482,,1.042,61.21900000000001
38,10.63,606,0.021452,1.699,357,13.0,2.452,,1.699,62.918000000000006
39,10.51,285,0.021053,1.036,275,6.0,2.495,,1.036,63.95400000000001
40,10.68,932,0.01824,2.749,339,17.0,2.546,,2.749,66.703
41,10.56,450,0.013333,1.354,332,6.0,2.52,,1.354,68.057
42,10.67,803,0.01868,2.589,310,15.0,2.521,,2.589,70.646
43,10.63,425,0.021176,1.107,384,9.0,2.546,,1.107,71.753
44,10.59,564,0.015957,1.717,328,9.0,2.606,,1.717,73.47
45,10.84,656,0.033537,1.87,351,22.0,2.532,,1.87,75.34
46,10.85,544,0.020221,1.51,360,11.0,2.515,,1.51,76.85000000000001
47,11.11,861,0.026713,2.288,376,23.0,2.587,,2.288,79.138
48,11.29,902,0.022173,2.267,398,20.0,2.551,,2.267,81.405
49,11.14,295,0.013559,0.768,384,4.0,2.546,,0.768,82.173
50,11.34,773,0.027167,2.124,364,21.0,2.647,,2.124,84.297
51,11.24,438,0.013699,1.137,385,6.0,2.541,,1.137,85.434
52,11.21,512,0.019531,1.281,400,10.0,2.543,,1.281,86.715
53,11.08,274,0.014599,0.735,373,4.0,2.445,,0.735,87.45
54,11.15,642,0.023364,1.606,400,15.0,2.593,,1.606,89.056
55,10.98,277,0.00722,0.689,402,2.0,2.65,,0.689,89.74499999999999
56,10.98,683,0.016105,1.683,406,11.0,2.54,,1.683,91.428
57,10.93,493,0.016227,1.212,407,8.0,2.499,,1.212,92.64
58,11.03,781,0.021767,1.912,409,17.0,2.544,,1.912,94.552
59,11.05,542,0.02214,1.364,397,12.0,2.541,,1.364,95.91600000000001
60,10.93,288,0.013889,0.806,357,4.0,2.358,,0.806,96.72200000000001
61,10.9,536,0.016791,1.346,398,9.0,2.532,,1.346,98.06800000000001
62,10.81,417,0.01199,1.044,400,5.0,2.518,,1.044,99.11200000000001
63,10.75,296,0.023649,0.761,389,7.0,2.564,,0.761,99.873
64,10.64,331,0.012085,0.836,396,4.0,2.541,,0.836,100.709
65,10.66,608,0.019737,1.685,361,12.0,2.587,,1.685,102.394
66,10.74,972,0.016461,2.756,353,16.0,2.49,,2.756,105.15
67,10.72,402,0.022388,1.338,300,9.0,2.507,,1.338,106.488
68,10.6,416,0.007212,1.128,369,3.0,2.728,,1.128,107.616
69,10.57,424,0.018868,1.225,346,8.0,2.651,,1.225,108.841
70,10.64,830,0.019277,2.778,299,16.0,2.684,,2.778,111.619
71,10.61,388,0.020619,1.268,306,8.0,2.634,,1.268,112.887
72,10.58,429,0.020979,1.332,322,9.0,2.62,,1.332,114.219
73,10.58,488,0.020492,1.287,379,10.0,2.674,,1.287,115.506
74,10.47,429,0.006993,1.127,381,3.0,2.606,,1.127,116.633
75,10.4,291,0.017182,0.809,359,5.0,2.711,,0.809,117.442
76,10.33,366,0.013661,0.99,370,5.0,2.53,,0.99,118.43199999999999
77,10.29,383,0.018277,0.989,387,7.0,2.587,,0.989,119.42099999999999
78,10.28,399,0.025063,1.026,389,10.0,2.664,,1.026,120.44699999999999
79,10.29,505,0.021782,1.421,355,11.0,2.659,,1.421,121.868
80,10.22,355,0.014085,1.089,326,5.0,2.637,,1.089,122.957
81,10.25,694,0.017291,1.728,402,12.0,2.536,,1.728,124.68499999999999
82,10.22,509,0.015717,1.307,390,8.0,2.609,,1.307,125.99199999999999
83,10.3,884,0.019231,2.301,384,17.0,2.59,,2.301,128.29299999999998
84,10.27,457,0.017505,1.134,403,8.0,2.565,,1.134,129.42699999999996
85,10.2,299,0.013378,0.808,370,4.0,2.656,,0.808,130.23499999999996
86,10.15,284,0.021127,0.752,378,6.0,2.535,,0.752,130.98699999999997
87,10.15,605,0.016529,1.584,382,10.0,2.46,,1.584,132.57099999999997
88,10.11,296,0.023649,0.798,371,7.0,2.483,,0.798,133.36899999999997
89,10.08,289,0.024221,0.784,368,7.0,2.599,,0.784,134.15299999999996
90,10.17,696,0.025862,1.986,351,18.0,2.578,,1.986,136.13899999999995
91,10.14,377,0.02122,1.051,359,8.0,2.615,,1.051,137.18999999999994
92,10.08,363,0.011019,1.016,357,4.0,2.645,,1.016,138.20599999999993
93,10.02,373,0.013405,1.054,354,5.0,2.74,,1.054,139.25999999999993
94,9.98,447,0.013423,1.249,358,6.0,2.528,,1.249,140.50899999999993
95,9.93,472,0.010593,5.75,82,5.0,2.564,0.009186,5.75,146.25899999999993
96,9.91,443,0.018059,9.265,48,8.0,2.494,0.008432,9.265,155.52399999999994
97,9.87,444,0.013514,9.558,46,6.0,2.514,0.012359,9.558,165.08199999999994
98,9.82,270,0.018519,5.701,47,5.0,2.456,0.009267,5.701,170.78299999999993
99,9.83,644,0.017081,13.413,48,11.0,2.374,0.008345,13.413,184.19599999999994
100,9.83,507,0.019724,10.859,47,10.0,2.59,0.009608,10.859,195.05499999999995
101,9.84,514,0.01751,10.957,47,9.0,2.566,0.008981,10.957,206.01199999999994
102,9.78,531,0.022599,11.11,48,12.0,2.52,0.009712,11.11,217.12199999999996
103,9.91,721,0.023578,15.223,47,17.0,2.533,0.00897,15.223,232.34499999999997
104,9.93,593,0.016863,12.634,47,10.0,2.489,0.007911,12.634,244.97899999999998
105,9.87,681,0.023495,14.274,48,16.0,2.493,0.008027,14.274,259.253
106,9.9,555,0.021622,11.588,48,12.0,2.578,0.006657,11.588,270.841
107,9.85,478,0.023013,9.915,48,11.0,2.536,0.010928,9.915,280.75600000000003
108,9.85,510,0.015686,10.73,48,8.0,2.565,0.009269,10.73,291.48600000000005
109,9.85,674,0.01632,14.129,48,11.0,2.329,0.009483,14.129,305.61500000000007
110,9.87,587,0.020443,12.238,48,12.0,2.45,0.009339,12.238,317.85300000000007
111,9.87,666,0.018018,14.138,47,12.0,2.538,0.009253,14.138,331.99100000000004
112,9.84,379,0.010554,7.923,48,4.0,2.388,0.008804,7.923,339.91400000000004
113,9.81,392,0.015306,8.189,48,6.0,2.375,0.009093,8.189,348.10300000000007
114,9.78,395,0.012658,8.495,46,5.0,2.301,0.00828,8.495,356.59800000000007
115,9.73,333,0.018018,7.143,47,6.0,2.511,0.008949,7.143,363.74100000000004
116,9.74,1029,0.015549,22.729,45,16.0,2.593,0.00988,22.729,386.47
117,9.72,369,0.01355,7.999,46,5.0,2.528,0.009809,7.999,394.46900000000005
118,9.72,587,0.020443,12.896,46,12.0,2.288,0.007938,12.896,407.36500000000007
119,9.7,875,0.016,17.568,50,14.0,2.552,0.00724,17.568,424.93300000000005
120,9.57,264,0.018939,5.357,49,5.0,2.231,0.008651,5.357,430.2900000000001
121,9.56,318,0.015723,6.654,48,5.0,2.412,0.007621,6.654,436.9440000000001
122,9.5,298,0.013423,6.402,47,4.0,2.503,0.010055,6.402,443.34600000000006
123,9.52,414,0.012077,8.722,47,5.0,2.273,0.00658,8.722,452.06800000000004
124,9.48,406,0.019704,8.804,46,8.0,2.392,0.009041,8.804,460.872
125,9.51,484,0.024793,10.553,46,12.0,2.339,0.006988,10.553,471.425
126,9.35,404,0.00495,8.74,46,2.0,2.579,0.006943,8.74,480.165
127,9.46,1131,0.013263,24.042,47,15.0,2.518,0.008233,24.042,504.207
128,9.45,631,0.019017,13.051,48,12.0,2.571,0.007211,13.051,517.258
129,9.4,539,0.018553,11.231,48,10.0,2.551,0.007518,11.231,528.489
130,9.41,603,0.016584,12.779,47,10.0,2.723,0.007689,12.779,541.268
131,9.46,523,0.01912,11.036,47,10.0,2.461,0.008262,11.036,552.304
132,9.55,594,0.02862,12.512,47,17.0,2.51,0.006024,12.512,564.816
133,9.54,458,0.021834,9.703,47,10.0,2.504,0.009933,9.703,574.519
134,9.57,759,0.017128,16.015,47,13.0,2.498,0.007756,16.015,590.534
135,9.49,467,0.008565,10.061,46,4.0,2.634,0.009041,10.061,600.595
136,9.5,585,0.020513,12.246,48,12.0,2.503,0.008079,12.246,612.841
137,9.46,396,0.005051,8.281,48,2.0,2.53,0.005806,8.281,621.122
138,9.41,467,0.017131,9.793,48,8.0,2.39,0.007981,9.793,630.915
139,9.5,682,0.021994,14.351,48,15.0,2.541,0.006829,14.351,645.266
140,9.5,680,0.025,14.379,47,17.0,2.51,0.007493,14.379,659.645
141,9.48,282,0.014184,6.065,46,4.0,2.206,0.007867,6.065,665.71
142,9.41,495,0.016162,10.394,48,8.0,2.568,0.005501,10.394,676.104
143,9.5,725,0.024828,15.107,48,18.0,2.516,0.006435,15.107,691.211
144,9.43,456,0.004386,9.633,47,2.0,2.487,0.005692,9.633,700.844
145,9.24,330,0.009091,7.139,46,3.0,2.276,0.005829,7.139,707.9830000000001
146,9.22,387,0.023256,8.08,48,9.0,2.561,0.004738,8.08,716.0630000000001
147,9.08,481,0.018711,10.107,48,9.0,2.63,0.00591,10.107,726.1700000000001
148,8.96,491,0.016293,10.379,47,8.0,2.434,0.006566,10.379,736.5490000000001
149,8.99,472,0.014831,8.972,53,7.0,2.525,0.006095,8.972,745.5210000000001
150,8.85,336,0.020833,6.874,49,7.0,2.536,0.006461,6.874,752.3950000000001
151,8.93,683,0.020498,14.456,47,14.0,2.58,0.006821,14.456,766.8510000000001
152,9.08,986,0.025355,21.768,45,25.0,2.52,0.008162,21.768,788.6190000000001
153,9.16,589,0.020374,13.103,45,12.0,2.683,0.00798,13.103,801.7220000000001
154,9.09,631,0.012678,13.797,46,8.0,2.479,0.006079,13.797,815.5190000000001
155,9.3,1032,0.022287,22.519,46,23.0,2.556,0.006411,22.519,838.0380000000001
156,9.31,589,0.020374,12.929,46,12.0,2.632,0.008646,12.929,850.9670000000001
157,9.37,1068,0.013109,23.871,45,14.0,2.446,0.005638,23.871,874.8380000000001
158,9.38,723,0.024896,15.733,46,18.0,2.281,0.005611,15.733,890.571
159,9.3,398,0.01005,8.823,45,4.0,2.724,0.007064,8.823,899.394
160,9.33,379,0.01847,8.236,46,7.0,2.427,0.005293,8.236,907.63
161,9.25,365,0.00274,8.005,46,1.0,2.411,0.005267,8.005,915.635
162,9.3,529,0.018904,11.693,45,10.0,2.336,0.005192,11.693,927.328
163,9.35,466,0.025751,10.509,44,12.0,2.633,0.005659,10.509,937.837
164,9.47,542,0.02952,12.006,45,16.0,2.537,0.004585,12.006,949.843
165,9.41,312,0.019231,7.231,43,6.0,2.676,0.005614,7.231,957.074
166,9.38,488,0.026639,10.469,47,13.0,2.68,0.006816,10.469,967.543
167,9.35,513,0.011696,10.726,48,6.0,2.595,0.004973,10.726,978.269
168,9.42,388,0.025773,8.191,47,10.0,2.626,0.004567,8.191,986.46
169,9.39,376,0.013298,8.064,47,5.0,2.465,0.005105,8.064,994.524
170,9.34,428,0.025701,9.096,47,11.0,2.519,0.012979,9.096,1003.62
171,9.34,479,0.016701,10.297,47,8.0,2.61,0.008272,10.297,1013.917
172,9.34,473,0.019027,10.019,47,9.0,2.433,0.008515,10.019,1023.936
173,9.27,372,0.008065,7.869,47,3.0,2.648,0.008634,7.869,1031.805
174,9.35,558,0.019713,11.832,47,11.0,2.581,0.006118,11.832,1043.6370000000002
175,9.34,423,0.009456,8.866,48,4.0,2.539,0.006812,8.866,1052.5030000000002
176,9.37,538,0.01487,10.277,52,8.0,2.225,0.00638,10.277,1062.7800000000002
177,9.36,378,0.015873,7.581,50,6.0,2.418,0.00686,7.581,1070.361
178,9.33,538,0.013011,9.987,54,7.0,2.747,0.006325,9.987,1080.3480000000002
179,9.29,440,0.015909,8.935,49,7.0,2.42,0.006179,8.935,1089.2830000000001
180,9.3,451,0.013304,8.905,51,6.0,2.636,0.007762,8.905,1098.188
181,9.35,726,0.023416,14.452,50,17.0,2.444,0.006476,14.452,1112.64
182,9.36,305,0.029508,6.279,49,9.0,2.567,0.00589,6.279,1118.919
183,9.27,463,0.017279,9.742,48,8.0,2.728,0.004992,9.742,1128.661
184,9.24,290,0.017241,6.242,46,5.0,2.545,0.007472,6.242,1134.903
185,9.28,483,0.016563,10.255,47,8.0,2.648,0.006444,10.255,1145.1580000000001
186,9.26,315,0.012698,6.639,47,4.0,2.873,0.004411,6.639,1151.797
187,9.25,590,0.015254,12.494,47,9.0,2.581,0.005088,12.494,1164.291
188,9.27,528,0.017045,11.239,47,9.0,2.634,0.004896,11.239,1175.53
189,9.27,573,0.012216,12.074,47,7.0,2.585,0.005709,12.074,1187.604
190,9.13,385,0.01039,8.261,47,4.0,2.538,0.004433,8.261,1195.865
191,9.12,313,0.022364,6.986,45,7.0,2.233,0.007047,6.986,1202.851
192,9.18,504,0.019841,11.125,45,10.0,2.339,0.011097,11.125,1213.976
193,9.2,289,0.024221,6.237,46,7.0,2.478,0.009682,6.237,1220.2130000000002
194,9.21,362,0.019337,7.881,46,7.0,2.511,0.011518,7.881,1228.0940000000003
195,9.22,480,0.0125,10.636,45,6.0,2.375,0.007876,10.636,1238.7300000000002
196,9.21,572,0.012238,12.525,46,7.0,2.495,0.008411,12.525,1251.2550000000003
197,9.19,301,0.013289,6.72,45,4.0,2.668,0.005903,6.72,1257.9750000000004
198,9.25,614,0.017915,13.536,45,11.0,2.634,0.007815,13.536,1271.5110000000004
199,9.19,302,0.016556,6.649,45,5.0,2.675,0.006603,6.649,1278.1600000000003
200,9.2,546,0.020147,12.028,45,11.0,2.679,0.008074,12.028,1290.1880000000003
201,9.22,520,0.021154,11.591,45,11.0,2.554,0.007405,11.591,1301.7790000000002
202,9.16,394,0.015228,8.827,45,6.0,2.195,0.007723,8.827,1310.6060000000002
203,9.07,290,0.027586,6.226,47,8.0,2.641,0.005276,6.226,1316.8320000000003
204,9.11,631,0.022187,13.736,46,14.0,2.52,0.00727,13.736,1330.5680000000004
205,9.04,352,0.025568,7.559,47,9.0,2.298,0.005758,7.559,1338.1270000000004
206,9.0,399,0.02005,8.643,46,8.0,2.233,0.006624,8.643,1346.7700000000004
207,8.98,575,0.015652,12.322,47,9.0,2.543,0.006029,12.322,1359.0920000000003
208,9.02,580,0.02069,12.695,46,12.0,2.595,0.005908,12.695,1371.7870000000003
209,9.02,514,0.021401,11.266,46,11.0,2.679,0.006184,11.266,1383.0530000000003
210,9.08,693,0.025974,15.137,46,18.0,2.658,0.00674,15.137,1398.1900000000003
211,9.0,302,0.013245,6.894,44,4.0,2.659,0.005454,6.894,1405.0840000000003
212,9.02,353,0.016997,6.937,51,6.0,2.703,0.005971,6.937,1412.0210000000002
213,9.03,328,0.021341,6.749,49,7.0,2.582,0.005599,6.749,1418.7700000000002
214,9.02,387,0.010336,7.458,52,4.0,2.494,0.013033,7.458,1426.2280000000003
215,9.0,303,0.013201,6.324,48,4.0,2.696,0.012381,6.324,1432.5520000000004
216,8.91,393,0.017812,8.17,48,7.0,2.616,0.00928,8.17,1440.7220000000004
217,8.91,469,0.010661,9.855,48,5.0,2.554,0.009995,9.855,1450.5770000000005
218,8.86,419,0.016706,9.026,46,7.0,2.644,0.008286,9.026,1459.6030000000005
219,8.79,527,0.013283,11.709,45,7.0,2.575,0.007981,11.709,1471.3120000000006
220,8.9,855,0.018713,18.62,46,16.0,2.716,0.008978,18.62,1489.9320000000005
